ACTIVE,ERROR,REGION,CODE,CATEGORY,GROUP,TAG,ID,NAME,EPGID,LOGOURL,URL,EPGURL,PROVIDER,NOTES
,,US,,Sports,Sports,,FOX SPORT1,,,,http://stitcher.pluto.tv/stitch/hls/channel/5a74b8e1e22a61737979c6bf/master.m3u8?deviceType=&deviceMake=&deviceModel=&sid=2&deviceId=&deviceVersion=&appVersion=&deviceDNT=&userId=&advertisingId=&deviceLat=&deviceLon=-&app_name=&appName=&appStoreUrl=&profileLimit=high,,,
,,US,,TV,TV,,FOX COMEDY,,,,http://161.0.157.9/PLTV/88888888/224/3221226800/03.m3u8,,,
,,US,,Movies,Movies,,FOX MOVIES,,,,http://streaming.i-sat.tv:8081/livestream/fox/playlist.m3u8?fluxustv.m3u8,,,
,,US,,Sports,Sports,,FOX racing,,,,http://161.0.157.8/PLTV/88888888/224/3221226181/index.m3u8,,,
,,US,,TV,TV,,FOX31 DENVER,,,,http://api.new.livestream.com/accounts/3417789/events/1980088/live.m3u8,,,
,,US,,TV,TV,,FOX32,,,,http://api.new.livestream.com/accounts/6370732/events/2591850/live.m3u8,,,
,,US,,Movies,Movies,,FOX ACTION,,,,http://stitcher.pluto.tv/stitch/hls/channel/561d7d484dc7c8770484914a/master.m3u8?deviceType=&deviceMake=&deviceModel=&sid=2&deviceId=&deviceVersion=&appVersion=&deviceDNT=&userId=&advertisingId=&deviceLat=&deviceLon=-&app_name=&appName=&appStoreUrl=&profileLimit=high,,,
,,US,,TV,TV,,FOX PORTAL,,,,http://149.56.17.92:1935/portalfoxmix/_definst_/portalfoxmix/chunklist_w1915378513.m3u8,,,
,,US,,TV,TV,,FOX29,,,,http://api.new.livestream.com/accounts/6370754/events/2591860/live.m3u8,,,
,,US,,News,News,,FOX NEWS,,,,http://fnurtmp-f.akamaihd.net/i/FNRADIO_1@92141/master.m3u8,,,
,,US,,Movies,Movies,,FOX MOVIES 1,,,,http://161.0.157.6/PLTV/88888888/224/3221226321/index.m3u8,,,
,,US,,Movies,Movies,,HBO,,,,http://m.rocketmediaworld.com/view/36674/HBO_%28HD%29parseUrl=1,,,
,,US,,Movies,Movies,,HBO 2 HD,,,,http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8?fluxustv.m3u8,,,
,,US,,Movies,Movies,,HBO 2 SD,,,,http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8,,,
,,US,,Movies,Movies,,TRUE MOVIES2,,,,http://dlhls.cdn.zhanqi.tv/zqlive/49427_jmACJ.m3u8,,,
,,US,,Movies,Movies,,MOVIES 1,,,,http://dlhls.cdn.zhanqi.tv/zqlive/35180_KUDhx.m3u8,,,
,,US,,Movies,Movies,,SONY MOVIES,,,,http://dlhls.cdn.zhanqi.tv/zqlive/102444_ZGmRp.m3u8,,,
,,US,,Movies,Movies,,PLUTO MOVIES1,,,,https://stitcher.pluto.tv/stitch/hls/channel/564b9ed65fbbbca07e8d09d2/master.m3u8?deviceType=web&deviceMake=Chrome&deviceModel=Chrome&sid=4eeea560-71a7-11e8-bcb5-a1b59b812cd7&deviceId=889540f0-712d-11e8-b9ec-8ba319deeadf&deviceVersion=37.0.2049.0&appVersion=2.0.0&deviceDNT=0&userId=&advertisingId=&deviceLat=38.5783&deviceLon=-90.6666&app_name=&appName=&appStoreUrl=&serverSideAds=true,,,
,,US,,Movies,Movies,,ACTION MOVIES1,,,,https://stitcher.pluto.tv/stitch/hls/channel/59976841a09fd13c9b590ce8/master.m3u8?deviceType=web&deviceMake=Chrome&deviceModel=Chrome&sid=2da9e920-7245-11e8-9b3e-a1006a2fd228&deviceId=889540f0-712d-11e8-b9ec-8ba319deeadf&deviceVersion=37.0.2049.0&appVersion=2.0.0&deviceDNT=0&userId=&advertisingId=&deviceLat=38.5783&deviceLon=-90.6666&app_name=&appName=&appStoreUrl=&serverSideAds=true,,,
,,US,,Movies,Movies,,PLUTO MOVIES2,,,,https://stitcher.pluto.tv/stitch/hls/channel/59976841a09fd13c9b590ce8/master.m3u8?deviceType=web&deviceMake=Chrome&deviceModel=Chrome&sid=4eeea560-71a7-11e8-bcb5-a1b59b812cd7&deviceId=889540f0-712d-11e8-b9ec-8ba319deeadf&deviceVersion=37.0.2049.0&appVersion=2.0.0&deviceDNT=0&userId=&advertisingId=&deviceLat=38.5783&deviceLon=-90.6666&app_name=&appName=&appStoreUrl=&serverSideAds=true,,,
,,US,,Movies,Movies,,B4U MOVIES,,,,http://161.0.157.5/PLTV/88888888/224/3221226255/03.m3u8,,,
,,US,,Movies,Movies,,GRAVITY MOVIES,,,,http://stitcher.pluto.tv/stitch/hls/channel/59120e45877eeb3760b3d9da/master.m3u8?deviceType=&deviceMake=&deviceModel=&sid=2&deviceId=&deviceVersion=&appVersion=&deviceDNT=&userId=&advertisingId=&deviceLat=&deviceLon=-&app_name=&appName=&appStoreUrl=&profileLimit=high,,,
,,US,,Movies,Movies,,HOLLYWOOD MOVIES,,,,http://aldirect.hls.huya.com/huyalive/28466698-2689659358-11551998979990355968-2789274580-10057-A-0-1_1200.m3u8,,,
,,US,,Movies,Movies,,MOVIES5,,,,http://dlhls.cdn.zhanqi.tv/zqlive/7032_0s2qn_1024/index.m3u8,,,
,,US,,Movies,Movies,,MOVIES PALA,,,,http://aldirect.hls.huya.com/huyalive/29169025-2686220018-11537227127170531328-2847699120-10057-A-1524041208-1_1200.m3u8,,,
,,US,,TV,TV,,AMC,,,,http://aldirect.hls.huya.com/huyalive/30765679-2504742278-10757786168918540288-3049003128-10057-A-0-1_1200.m3u8,,,
,,US,,Movies,Movies,,FOX MOVIES HD,,,,http://usuarios.club/usuarios/src1/FoxMovies/mayo/mayo.m3u8,,,
,,US,,TV,TV,,HOLLYWOOD SWITCH,,,,http://js.hls.huya.com/huyalive/30765679-2478268764-10644083292078342144-2847699106-10057-A-0-1_1200.m3u8,,,
,,US,,Movies,Movies,,WOWOW MOVIES,,,,http://192.240.127.34:1935/live/cs27.stream/playlist.m3u8?wowzasessionid=1300220279,,,
,,US,,News,News,,CITY WEEKLY,,,,http://aldirect.hls.huya.com/huyalive/29169025-2686219962-11537226886652362752-2710080226-10057-A-0-1_1200.m3u8,,,
,,US,,TV,TV,,HOLLYWOOD 24,,,,http://ws4.streamhls.huya.com/huyalive/29106097-2689448236-11551092217904889856-2789274572-10057-A-0-1_1200/playlist.m3u8?thebestfreeenglishchannels.m3u8,,,
,,US,,TV,TV,,WGN O,,,,http://ws4.streamhls.huya.com/huyalive/29106097-2689279104-11550365801496182784-2777026902-10057-A-0-1_1200/playlist.m3u8,,,
